date,close,sp500,nasdaq100,DoeJonesIA,USDtoCNY,USDtoEUR,USDtoJPY,AnalogDevice,Jabil,Microsoft,Nidec,Qualcomm,TSMC,CPI,USA MSCI,will5000
2018-01-03T00:00:00.000Z,172.23,2713.060059,6575.799805,24922.67969,6.503,0.8323,112.5,91.400002,27.049999,86.349998,35.82,65.940002,41.709999,2.070508,2370.1,125.72
2018-01-04T00:00:00.000Z,173.03,2723.98999,6584.580078,25075.13086,6.4934,0.8286,112.75,91.300003,27.309999,87.110001,36.529999,66.029999,41.490002,2.070508,2370.1,126.17
2018-01-05T00:00:00.000Z,175,2743.149902,6653.290039,25295.86914,6.4887,0.8313,113.08,91.669998,27.190001,88.190002,36.48,66.470001,42.459999,2.070508,2370.1,126.95
2018-01-08T00:00:00.000Z,174.35,2747.709961,6676.629883,25283,6.4997,0.8357,113.09,91.830002,27.08,88.279999,36.689999,66.269997,42.439999,2.070508,2370.1,127.22
2018-01-09T00:00:00.000Z,174.33,2751.290039,6677.939941,25385.80078,6.5297,0.8377,112.66,91.639999,26.93,88.220001,37.16,65.269997,42.18,2.070508,2370.1,127.37
2018-01-10T00:00:00.000Z,174.29,2748.22998,6662.660156,25369.13086,6.5081,0.837,111.44,90.110001,26.92,87.82,37.639999,65.260002,41.299999,2.070508,2370.1,127.25
2018-01-11T00:00:00.000Z,175.28,2767.560059,6708.490234,25574.73047,6.4958,0.8311,111.25,91.190002,27.440001,88.080002,37.720001,65.43,41.029999,2.070508,2370.1,128.33
2018-01-12T00:00:00.000Z,177.09,2786.23999,6758.540039,25803.18945,6.461,0.8206,111.04,92.019997,27.66,89.599998,38.240002,65.379997,41.189999,2.070508,2370.1,129.1
2018-01-16T00:00:00.000Z,176.19,2776.419922,6737.140137,25792.85938,6.444,0.8156,110.45,93.099998,27.51,88.349998,39.330002,68.25,42.23,2.070508,2370.1,128.5
2018-01-17T00:00:00.000Z,179.1,2802.560059,6810.279785,26115.65039,6.4343,0.8206,111.28,95.57,28.450001,90.139999,40,68.019997,43.130001,2.070508,2370.1,129.67
2018-01-18T00:00:00.000Z,179.26,2798.030029,6811.379883,26017.81055,6.4203,0.8171,111.11,97.239998,27.969999,90.099998,40.389999,68.050003,44.57,2.070508,2370.1,129.4
2018-01-19T00:00:00.000Z,178.46,2810.300049,6834.330078,26071.7207,6.404,0.8182,110.78,96.139999,27.389999,90,40.5,68.040001,44.669998,2.070508,2370.1,130.15
2018-01-22T00:00:00.000Z,177,2832.969971,6906.279785,26214.59961,6.4052,0.8155,110.92,96.650002,26.620001,91.610001,40.5,68.669998,46.380001,2.070508,2370.1,131.23
2018-01-23T00:00:00.000Z,177.04,2839.129883,6963.459961,26210.81055,6.4047,0.8131,110.31,96.470001,27.09,91.900002,41.349998,68.339996,46.279999,2.070508,2370.1,131.59
2018-01-24T00:00:00.000Z,174.22,2837.540039,6919.350098,26252.11914,6.37,0.806,109.22,95.339996,26.860001,91.82,40.540001,67.980003,45.330002,2.070508,2370.1,131.41
2018-01-25T00:00:00.000Z,171.11,2839.25,6916.299805,26392.78906,6.3238,0.8067,109.41,91.980003,26.790001,92.330002,40.75,67.419998,45.099998,2.070508,2370.1,131.48
2018-01-26T00:00:00.000Z,171.51,2872.870117,7022.970215,26616.71094,6.3201,0.8051,108.72,93.839996,26.530001,94.059998,42.259998,68.529999,45.720001,2.070508,2370.1,132.89
2018-01-29T00:00:00.000Z,167.96,2853.530029,6988.319824,26439.48047,6.3374,0.8076,108.95,93.779999,25.959999,93.919998,42.060001,67.32,45.400002,2.070508,2370.1,131.97
2018-01-30T00:00:00.000Z,166.97,2822.429932,6930.72998,26076.89063,6.3239,0.8064,108.78,91.550003,25.860001,92.739998,41.290001,66.989998,44.880001,2.070508,2370.1,130.59
2018-01-31T00:00:00.000Z,167.43,2823.810059,6949.990234,26149.39063,6.2888,0.8051,109.19,91.879997,25.43,95.010002,40.369999,68.25,45.310001,2.070508,2370.1,130.56
2018-02-01T00:00:00.000Z,167.78,2821.97998,6901.5,26186.71094,6.2995,0.7994,109.41,91.650002,26.040001,94.260002,39.759998,66.800003,45.450001,2.211795,2277.5,130.56
2018-02-02T00:00:00.000Z,160.5,2762.129883,6760.290039,25520.96094,6.3014,0.8025,110.11,89.110001,25.280001,91.779999,39.02,66.07,44.509998,2.211795,2277.5,127.84
2018-02-05T00:00:00.000Z,156.49,2648.939941,6495.919922,24345.75,6.29,0.8085,109.11,85.400002,24.379999,88,37.360001,61.73,42.950001,2.211795,2277.5,122.78
2018-02-06T00:00:00.000Z,163.03,2695.139893,6665.97998,24912.76953,6.2832,0.8079,109.56,88.540001,24.889999,91.330002,38.09,64.400002,43.59,2.211795,2277.5,124.76
2018-02-07T00:00:00.000Z,159.54,2681.659912,6582.02002,24893.34961,6.2694,0.8154,109.33,85.349998,25.200001,89.610001,37.799999,65.040001,41.880001,2.211795,2277.5,124.29
2018-02-08T00:00:00.000Z,155.15,2581,6306.100098,23860.46094,6.327,0.8165,108.75,82.68,24.93,85.010002,36.869999,62.419998,40.360001,2.211795,2277.5,119.77
2018-02-09T00:00:00.000Z,156.41,2619.550049,6412.680176,24190.90039,6.2969,0.8174,108.8,83.93,25.440001,88.18,37.68,63.990002,41.470001,2.211795,2277.5,121.4
2018-02-12T00:00:00.000Z,162.71,2656,6523.850098,24601.26953,6.3275,0.8135,108.66,85.050003,25.83,89.129997,38.57,65.660004,42.529999,2.211795,2277.5,123.04
2018-02-13T00:00:00.000Z,164.34,2662.939941,6553.859863,24640.44922,6.341,0.8096,107.83,84.339996,25.690001,89.830002,38.759998,65.699997,42.380001,2.211795,2277.5,123.43
2018-02-14T00:00:00.000Z,167.37,2698.629883,6675.029785,24893.49023,6.3482,0.8032,107.02,85.129997,26.129999,90.809998,38.68,66.589996,43.049999,2.211795,2277.5,125.21
2018-02-15T00:00:00.000Z,172.99,2731.199951,6794.919922,25200.36914,6.3482,0.7996,106.12,85.400002,26.459999,92.660004,39.029999,65.279999,43.52,2.211795,2277.5,126.69
2018-02-16T00:00:00.000Z,172.43,2732.219971,6770.660156,25219.38086,6.3482,0.8061,106.31,86.089996,26.370001,92,37.919998,64.849998,43.48,2.211795,2277.5,126.75
2018-02-20T00:00:00.000Z,171.85,2716.26001,6779.689941,24964.75,6.3482,0.8105,107.33,88.410004,26.379999,92.720001,37.799999,63.990002,43.740002,2.211795,2277.5,125.95
2018-02-21T00:00:00.000Z,171.07,2701.330078,6759.259766,24797.7793,6.3482,0.8141,107.78,88.410004,26.35,91.489998,37.900002,63.400002,42.889999,2.211795,2277.5,125.34
2018-02-22T00:00:00.000Z,172.5,2703.959961,6761.850098,24962.48047,6.3501,0.811,106.75,88.559998,26.33,91.730003,38.509998,62.18,42.389999,2.211795,2277.5,125.39
2018-02-23T00:00:00.000Z,175.5,2747.300049,6896.600098,25309.99023,6.3373,0.8135,106.89,90.370003,26.610001,94.059998,39.740002,63.32,43.900002,2.211795,2277.5,127.31
2018-02-26T00:00:00.000Z,178.97,2779.600098,6989.100098,25709.26953,6.316,0.8119,106.94,92.360001,27.18,95.419998,39.669998,66.980003,44.41,2.211795,2277.5,128.68
2018-02-27T00:00:00.000Z,178.39,2744.280029,6900.350098,25410.0293,6.317,0.8175,107.33,92.260002,27.299999,94.199997,40.560001,66.339996,43.619999,2.211795,2277.5,127.03
2018-02-28T00:00:00.000Z,178.12,2713.830078,6854.419922,25029.19922,6.3311,0.82,106.67,90.150002,27.09,93.769997,40,65,43.349998,2.211795,2277.5,125.66
2018-03-01T00:00:00.000Z,175,2677.669922,6750.540039,24608.98047,6.3582,0.8152,106.24,88.309998,26.540001,92.849998,38.889999,64.959999,42.720001,2.359711,2228.6,124.22
2018-03-02T00:00:00.000Z,176.21,2691.25,6811.040039,24538.06055,6.3454,0.8118,105.75,89.529999,27,93.050003,39.759998,64.739998,43.009998,2.359711,2228.6,125.02
2018-03-05T00:00:00.000Z,176.82,2720.939941,6881.279785,24874.75977,6.3495,0.8106,106.2,91.139999,27.08,93.639999,39.279999,64.010002,43.490002,2.359711,2228.6,126.38
2018-03-06T00:00:00.000Z,176.67,2728.120117,6913.02002,24884.11914,6.3098,0.8062,106.12,91.93,27.469999,93.32,40.25,62.139999,43.540001,2.359711,2228.6,126.84
2018-03-07T00:00:00.000Z,175.03,2726.800049,6929.390137,24801.35938,6.3255,0.8057,106.08,92.739998,27.549999,93.860001,39.700001,62.490002,44.200001,2.359711,2228.6,126.94
2018-03-08T00:00:00.000Z,176.94,2738.969971,6966.430176,24895.21094,6.3422,0.8122,106.2,92.720001,27.84,94.43,40.599998,61.82,43.799999,2.359711,2228.6,127.42
2018-03-09T00:00:00.000Z,179.98,2786.570068,7101.180176,25335.74023,6.3326,0.8125,106.8,94.730003,28.190001,96.540001,40.68,63.029999,44.59,2.359711,2228.6,129.54
2018-03-12T00:00:00.000Z,181.72,2783.02002,7131.120117,25178.60938,6.33,0.8107,106.42,95.529999,28.309999,96.769997,40.490002,62.810001,45.220001,2.359711,2228.6,129.49
2018-03-13T00:00:00.000Z,179.97,2765.310059,7046.509766,25007.0293,6.3216,0.8071,106.58,94.660004,28.27,94.410004,40.150002,59.700001,44.990002,2.359711,2228.6,128.67
2018-03-14T00:00:00.000Z,178.44,2749.47998,7040.97998,24758.11914,6.318,0.8086,106.33,94.089996,28.200001,93.849998,40.5,60.119999,45.150002,2.359711,2228.6,128.02
2018-03-15T00:00:00.000Z,178.65,2747.330078,7030.970215,24873.66016,6.3221,0.8127,106.34,93.940002,28.49,94.18,40.349998,59.889999,45.310001,2.359711,2228.6,127.75
2018-03-16T00:00:00.000Z,178.02,2752.01001,7019.950195,24946.50977,6.335,0.8137,106.02,94.150002,31.370001,94.599998,40.09,60.619999,44.970001,2.359711,2228.6,128.12
2018-03-19T00:00:00.000Z,175.3,2712.919922,6864.879883,24610.91016,6.3322,0.8107,106.09,93.5,31.030001,92.889999,39.400002,58.369999,44.599998,2.359711,2228.6,126.35
2018-03-20T00:00:00.000Z,175.24,2716.939941,6885.919922,24727.26953,6.3341,0.8168,106.53,92.709999,30.77,93.129997,38.830002,58.259998,44.830002,2.359711,2228.6,126.51
2018-03-21T00:00:00.000Z,171.27,2711.929932,6853.450195,24682.31055,6.3232,0.8105,106.06,92.800003,30.58,92.480003,38.869999,56.810001,44.700001,2.359711,2228.6,126.42
2018-03-22T00:00:00.000Z,168.85,2643.689941,6682.259766,23957.89063,6.335,0.8128,105.28,90.540001,29.25,89.790001,38.25,55.580002,43.689999,2.359711,2228.6,123.33
2018-03-23T00:00:00.000Z,164.94,2588.26001,6508.089844,23533.19922,6.316,0.8095,104.74,87.699997,28.59,87.18,37.209999,53.66,42.580002,2.359711,2228.6,120.8
2018-03-26T00:00:00.000Z,172.77,2658.550049,6753.830078,24202.59961,6.2734,0.8037,105.41,93.110001,28.74,93.779999,37.919998,56.130001,44.27,2.359711,2228.6,123.91
2018-03-27T00:00:00.000Z,168.34,2612.620117,6529.839844,23857.71094,6.2831,0.8063,105.34,91.050003,28.639999,89.470001,38.200001,54.84,43.290001,2.359711,2228.6,121.7
2018-03-28T00:00:00.000Z,166.48,2605,6460.810059,23848.41992,6.2979,0.8125,106.86,89.910004,28.24,89.389999,38.419998,54.700001,42.689999,2.359711,2228.6,121.4
2018-03-29T00:00:00.000Z,167.78,2640.870117,6581.129883,24103.10938,6.2898,0.8129,106.43,91.129997,28.73,91.269997,38.540001,55.41,43.759998,2.359711,2228.6,123.05
2018-04-02T00:00:00.000Z,166.68,2581.879883,6390.839844,23644.18945,6.2805,0.8128,105.89,88.75,27.959999,88.519997,38.189999,53.810001,42.5,2.462744,2235.5,120.31
2018-04-03T00:00:00.000Z,168.39,2614.449951,6458.830078,24033.35938,6.2899,0.8149,106.61,89.519997,28.35,89.709999,38.68,54.779999,43.48,2.462744,2235.5,121.77
2018-04-04T00:00:00.000Z,171.61,2644.689941,6560.060059,24264.30078,6.3052,0.8145,106.78,91.239998,28.48,92.330002,37.990002,54.990002,43.939999,2.462744,2235.5,123.17
2018-04-05T00:00:00.000Z,172.8,2662.840088,6594.839844,24505.2207,6.3052,0.817,107.38,90.940002,28.57,92.379997,38.200001,55.040001,43.32,2.462744,2235.5,124.08
2018-04-06T00:00:00.000Z,168.38,2604.469971,6433.209961,23932.75977,6.3052,0.8142,106.93,88.309998,27.950001,90.230003,37.400002,53.119999,42.419998,2.462744,2235.5,121.46
2018-04-09T00:00:00.000Z,170.05,2613.159912,6472.339844,23979.09961,6.307,0.8116,106.77,87.989998,27.9,90.769997,37.779999,53.43,43.07,2.462744,2235.5,121.79
